,1,1,1,2,1,1
,25,25,30,20,30,20
1416455,15,0,5,15,2,7
1579288,0,0,18,0,5,12
1528882,15,7,0,0,0,4
1653725,0,0,0,0,0,0
1625654,5,15,20,0,0,0
1669953,0,0,5,0,0,0
1665555,10,0,15,6,2,0
1616161,0,0,18,11,20,20
1633554,0,10,5,15,0,0
1645333,22,0,23,16,15,13
1691291,6,10,0,0,2,11
1662147,15,0,0,5,0,5
1691483,0,0,20,15,0,0
1674181,20,0,5,5,0,8
1641252,22,22,24,14,25,17
1695837,19,0,24,0,5,7
1613273,0,0,0,16,0,4
1612985,0,0,22,12,0,8
1623112,0,0,15,16,10,8
1668314,0,0,0,0,0,0
1622731,0,0,0,0,0,0
1696326,0,0,10,16,1,9
1646434,0,0,0,0,0,0
1614142,0,0,10,16,9,10
1654432,18,0,20,18,17,14
1678812,0,0,0,16,1,0
1614733,0,0,0,0,0,0
1665491,18,0,20,16,0,5
1634352,10,10,15,6,6,13
1661638,15,5,10,0,0,15
1686272,0,0,0,14,0,0
1729416,0,20,18,20,0,13
1763881,0,0,27,0,0,15
1781682,12,7,0,13,0,7
1778274,0,7,15,14,6,4
1795656,10,3,20,19,4,5
1773277,17,0,22,18,0,0
1759787,13,0,20,0,5,10
1743714,8,0,20,0,3,2
1747457,0,0,0,0,13,1
1728125,15,0,24,16,0,18
1783512,10,0,22,16,0,13
1768463,10,0,20,16,0,11
1797625,15,0,22,0,14,14
1754681,18,15,27,18,5,19
1798883,5,0,15,0,3,10
1769463,20,0,0,0,0,0
1766156,14,0,20,20,18,0
1772947,15,0,27,16,5,19
1731817,22,18,22,16,27,16
1752538,0,20,0,15,0,0
1731852,0,20,0,0,0,17
1766176,10,22,18,16,10,8
1715578,0,10,10,18,10,5
1745484,0,7,0,0,3,9
1791753,20,18,22,15,17,15
1742892,5,0,5,0,0,0
1788337,18,18,24,0,8,17
1736425,17,20,22,0,20,19
1728439,0,0,24,0,20,14
1712983,8,10,22,0,20,13
1718437,18,0,22,12,20,20
1784847,23,15,20,0,28,19
1737824,15,20,22,20,0,10
1797789,0,0,15,0,0,8
1728139,5,0,10,0,0,15
1711619,5,5,22,0,14,18
1789481,22,19,24,0,27,17
1711729,0,0,0,0,0,6
1773384,15,0,20,0,0,9
1762565,6,22,0,0,15,4
1898334,10,18,0,0,1,6
1892367,0,0,24,16,12,7
1863951,10,20,15,20,17,16
1835298,4,18,20,20,16,17
1835874,18,25,10,0,0,0
1849651,15,12,22,13,0,8
1872128,0,0,22,16,10,6
1887973,19,15,0,0,10,18
1886577,17,7,20,10,7,18
1877262,18,2,22,18,28,18
1873255,18,0,22,19,28,19
1834433,22,20,27,18,22,19
1868128,15,15,24,15,4,15
1845457,0,0,20,0,0,0
1855787,20,15,26,10,0,0
1893863,0,0,20,6,0,0
1842333,20,0,15,14,6,0
